Log_ID,User_ID,Log_Date,Activity_Type,Duration_Minutes,Calories_Burned,Steps_Count,Avg_Heart_Rate_BPM,Sleep_Hours,Water_Intake_Liters,Mood_Rating
LOG-502564,USR-2160,2024-01-01,Gym Workout,118,243,9219,160,5.4,3.6,5
LOG-502968,USR-2237,2024-01-01,Cycling,32,588,11088,150,4.3,1.2,4
LOG-503489,USR-2157,2024-01-01,Cycling,23,198,9557,157,7.5,1.7,5
LOG-503464,USR-2040,2024-01-01,Yoga,107,832,3044,152,4.8,2.6,2
LOG-503429,USR-2084,2024-01-01,HIIT,87,113,16114,111,4.1,0.8,5
LOG-502579,USR-2021,2024-01-01,Swimming,32,63,17155,150,6.1,1.7,2
LOG-502282,USR-2176,2024-01-01,Swimming,75,361,9278,90,7.2,2.8,2
LOG-503492,USR-2190,2024-01-01,Walking,19,51,10185,164,6.1,2.1,4
LOG-500087,USR-2006,2024-01-01,Walking,58,381,696,140,4.5,2.3,4
LOG-500179,USR-2241,2024-01-01,Walking,16,867,19676,72,5.0,3.9,5
LOG-501556,USR-2010,2024-01-01,Swimming,96,90,18045,157,4.8,0.6,3
LOG-501796,USR-2065,2024-01-01,Yoga,88,607,6527,106,6.5,3.6,4
LOG-500201,USR-2251,2024-01-01,Gym Workout,78,665,14681,128,6.6,2.4,2
LOG-500083,USR-2097,2024-01-02,Gym Workout,55,644,8506,75,6.2,0.7,5
LOG-501574,USR-2165,2024-01-02,HIIT,93,498,13906,113,6.1,2.4,2
LOG-500560,USR-2026,2024-01-02,Swimming,69,719,7895,71,4.1,1.5,3
LOG-500280,USR-2253,2024-01-02,Yoga,20,597,14569,88,6.9,4.0,5
LOG-502109,USR-2122,2024-01-02,Walking,72,671,9970,165,5.8,3.9,2
LOG-500937,USR-2039,2024-01-02,Walking,13,736,18036,87,4.6,2.0,1
LOG-502387,USR-2144,2024-01-02,Gym Workout,109,762,3156,143,8.6,2.4,5
LOG-502683,USR-2016,2024-01-02,Cycling,80,551,15372,129,8.3,1.5,1
LOG-503104,USR-2190,2024-01-02,Walking,48,426,16440,172,7.5,3.7,3
LOG-503409,USR-2036,2024-01-03,HIIT,25,123,15265,87,6.6,0.5,1
